"Id","Category","Slug","Name","Original name","Production year","Episodes","Seasons","Duration","Description","Genres","Genres2","Genres3","Country","Age"
"05460d18-1a8d-4610-842e-1aa8a632b02b","1","mertvye-docheri","Мертвые дочери","Dead Daughters","2007",,,,,,"Драма","Ужасы","1","18"
"054ee12b-ac8c-4fd4-a297-dad24209743b","1","dikie-istorii","Дикие истории","Relatos salvajes","2015",,,,,,"Триллер","Комедия","2","16"
"05575c41-8ccc-49a6-a2e1-c60b30a70738","1","boi-tommi-raili","Бой Томми Райли","Бой Томми Райли","2004",,,,,"Драма","Спорт",,,"16"
"055b27d6-f2db-4562-b175-00aa0b9815ff","1","maior","Майор","Major","2013",,,,,,"Драма","Криминал","1","18"
"055c4e30-5216-47f7-aca7-b54b7406d8cd","1","po-versii-barni","По версии Барни","Barney's Version","2010",,,,,"Драма",,"Комедия","2","16"
"055e2aea-a188-4798-ad59-f522cf98f7c1","1","otpetyi-macho","Отпетый мачо","Gun Shy","2018",,,,,,"Боевик","Комедия","2","18"
"055ed3a3-81d6-48f9-ad64-844e6571f1b0","1","kodeks-gotti","Кодекс Готти","Gotti","2018",,,,,"Драма",,"Криминал","2","18"
"0562e177-36f8-4f17-8d87-54c30de78604","1","komnata","Комната","Комната","2003",,,,,"Драма",,,,"12"
"056a436b-f28c-4b90-b1ee-72783f0864cc","1","belye-volki","Белые волки","Белые волки","1969",,,,,"Драма","Исторический",,,"12"
"056e4c3f-9bc6-4ce2-b86a-21ac3265a705","1","luchshie-iz-luchshih-2","Лучшие из лучших 2","Best of the Best II","1993",,,,,"Триллер",,"Криминал","2","16"
"056e5484-4cd9-4de4-9217-b01ab5405880","1","sekretnyi-eshelon","Секретный эшелон","The Secret Echelon","1993",,,,,,"Исторический","Драма","1","12"
"0572df8c-a630-45df-afd2-50d40716db8d","1","trio","Трио","Trio","2002",,,,,,"Криминал",,"1","12"
"057316ad-b8d1-4d08-807a-7640bbc06cd5","1","orudie-smerti","Орудие смерти","Орудие смерти","2011",,,,,"Триллер","Драма","Детектив",,"16"
"058139d5-1d1a-44da-9c63-5f4a46c1e2e4","1","skazka-o-poteryannom-vremeni-9d9424ef-b8f3-4b6b-925c-f99fddd5eb17","Сказка о потерянном времени","Tale of the Lost Time","1964",,,,,"Семейный","Фантастика","Комедия",,"0"
"0583de48-c9ed-48ff-9654-ae8b85857e3e","1","druzya-druzei","Друзья друзей","Friends of Friends","2014",,,,,,"Комедия",,"1","16"
"0584a42e-fb61-4565-8fe6-9cabe8eea5f9","1","goluboi-led","Голубой лед","Blue Ice","1969",,,,,,"Драма","Спорт","1","12"
"058ad650-f8de-4641-ab8b-d0f9a5589362","1","medovyi-mesyats-a673c309-e3d1-4d52-9256-91ea55c8af88","Медовый месяц",,"1956",,,,,,"Мелодрама","Комедия","1","12"
